"SG_UF_NOT";"DS_UF_SIGLA";"Ano.epidemiológico";"Semana.epidemiológica";"virus";"Median";"LI";"LS";"casos.registrados";"casos.estimados";"media.movel"
0;"BR";2022;36;"METAP";NA;NA;NA;9;9;8
0;"BR";2022;37;"SARS2";NA;NA;NA;226;226;252
0;"BR";2022;37;"VSR";NA;NA;NA;71;71;73
0;"BR";2022;37;"FLU_A";NA;NA;NA;125;125;130
0;"BR";2022;37;"FLU_B";NA;NA;NA;5;5;7
0;"BR";2022;37;"RINO";NA;NA;NA;104;104;113
0;"BR";2022;37;"METAP";NA;NA;NA;8;8;8
0;"BR";2022;38;"SARS2";NA;NA;NA;202;202;209
0;"BR";2022;38;"VSR";NA;NA;NA;84;84;86
0;"BR";2022;38;"FLU_A";NA;NA;NA;156;156;152
0;"BR";2022;38;"FLU_B";NA;NA;NA;6;6;6
0;"BR";2022;38;"RINO";NA;NA;NA;123;123;117
0;"BR";2022;38;"METAP";NA;NA;NA;6;6;7
0;"BR";2022;39;"SARS2";NA;NA;NA;199;199;187
0;"BR";2022;39;"VSR";NA;NA;NA;104;104;116
0;"BR";2022;39;"FLU_A";NA;NA;NA;174;174;162
0;"BR";2022;39;"FLU_B";NA;NA;NA;6;6;6
0;"BR";2022;39;"RINO";NA;NA;NA;124;124;126
0;"BR";2022;39;"METAP";NA;NA;NA;6;6;10
0;"BR";2022;40;"SARS2";NA;NA;NA;161;161;186
0;"BR";2022;40;"VSR";NA;NA;NA;159;159;153
0;"BR";2022;40;"FLU_A";NA;NA;NA;156;156;156
0;"BR";2022;40;"FLU_B";NA;NA;NA;6;6;6
0;"BR";2022;40;"RINO";NA;NA;NA;132;132;122
0;"BR";2022;40;"METAP";NA;NA;NA;17;17;12
0;"BR";2022;41;"SARS2";NA;NA;NA;198;198;202
0;"BR";2022;41;"VSR";NA;NA;NA;195;195;193
0;"BR";2022;41;"FLU_A";NA;NA;NA;137;137;136
0;"BR";2022;41;"FLU_B";NA;NA;NA;6;6;5
0;"BR";2022;41;"RINO";NA;NA;NA;111;111;121
0;"BR";2022;41;"METAP";NA;NA;NA;14;14;14
0;"BR";2022;42;"SARS2";NA;NA;NA;248;248;270
0;"BR";2022;42;"VSR";NA;NA;NA;225;225;207
0;"BR";2022;42;"FLU_A";NA;NA;NA;116;116;121
0;"BR";2022;42;"FLU_B";NA;NA;NA;3;3;4
0;"BR";2022;42;"RINO";NA;NA;NA;119;119;112
0;"BR";2022;42;"METAP";NA;NA;NA;11;11;12
0;"BR";2022;43;"SARS2";NA;NA;NA;363;363;435
0;"BR";2022;43;"VSR";NA;NA;NA;202;202;221
0;"BR";2022;43;"FLU_A";NA;NA;NA;109;109;101
0;"BR";2022;43;"FLU_B";NA;NA;NA;2;2;3
0;"BR";2022;43;"RINO";NA;NA;NA;106;106;109
0;"BR";2022;43;"METAP";NA;NA;NA;12;12;13
0;"BR";2022;44;"SARS2";NA;NA;NA;694;694;813
0;"BR";2022;44;"VSR";NA;NA;NA;236;236;233
0;"BR";2022;44;"FLU_A";NA;NA;NA;79;79;89
0;"BR";2022;44;"FLU_B";NA;NA;NA;3;3;2
0;"BR";2022;44;"RINO";NA;NA;NA;103;103;114
0;"BR";2022;44;"METAP";NA;NA;NA;16;16;16
0;"BR";2022;45;"SARS2";NA;NA;NA;1382;1382;1365
0;"BR";2022;45;"VSR";NA;NA;NA;260;260;252
0;"BR";2022;45;"FLU_A";NA;NA;NA;79;79;82
0;"BR";2022;45;"FLU_B";NA;NA;NA;2;2;3
0;"BR";2022;45;"RINO";NA;NA;NA;133;133;122
0;"BR";2022;45;"METAP";NA;NA;NA;20;20;16
0;"BR";2022;46;"SARS2";NA;NA;NA;2018;2018;1849
0;"BR";2022;46;"VSR";NA;NA;NA;259;259;252
0;"BR";2022;46;"FLU_A";NA;NA;NA;87;87;74
0;"BR";2022;46;"FLU_B";NA;NA;NA;3;3;3
0;"BR";2022;46;"RINO";NA;NA;NA;129;129;116
0;"BR";2022;46;"METAP";NA;NA;NA;13;13;15
0;"BR";2022;47;"SARS2";NA;NA;NA;2148;2148;2167
0;"BR";2022;47;"VSR";NA;NA;NA;238;238;254
0;"BR";2022;47;"FLU_A";NA;NA;NA;57;57;66
0;"BR";2022;47;"FLU_B";NA;NA;NA;3;3;3
0;"BR";2022;47;"RINO";NA;NA;NA;87;87;98
0;"BR";2022;47;"METAP";NA;NA;NA;12;12;13
0;"BR";2022;48;"SARS2";NA;NA;NA;2335;2335;2272
0;"BR";2022;48;"VSR";NA;NA;NA;266;266;274
0;"BR";2022;48;"FLU_A";NA;NA;NA;53;53;52
0;"BR";2022;48;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;48;"RINO";NA;NA;NA;77;77;81
0;"BR";2022;48;"METAP";NA;NA;NA;14;14;15
0;"BR";2022;49;"SARS2";NA;NA;NA;2333;2333;2223
0;"BR";2022;49;"VSR";NA;NA;NA;319;319;294
0;"BR";2022;49;"FLU_A";NA;NA;NA;47;47;47
0;"BR";2022;49;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;49;"RINO";NA;NA;NA;79;79;70
0;"BR";2022;49;"METAP";NA;NA;NA;19;19;20
0;"BR";2022;50;"SARS2";NA;NA;NA;2002;2002;2023
0;"BR";2022;50;"VSR";NA;NA;NA;296;296;325
0;"BR";2022;50;"FLU_A";NA;NA;NA;41;41;38
0;"BR";2022;50;"FLU_B";NA;NA;NA;3;3;3
0;"BR";2022;50;"RINO";NA;NA;NA;55;55;65
0;"BR";2022;50;"METAP";NA;NA;NA;27;27;21
0;"BR";2022;51;"SARS2";NA;NA;NA;1733;1733;1726
0;"BR";2022;51;"VSR";NA;NA;NA;360;360;334
0;"BR";2022;51;"FLU_A";NA;NA;NA;26;26;29
0;"BR";2022;51;"FLU_B";NA;NA;NA;3;3;7
0;"BR";2022;51;"RINO";NA;NA;NA;61;61;50
0;"BR";2022;51;"METAP";NA;NA;NA;18;18;20
0;"BR";2022;52;"SARS2";NA;NA;NA;1444;1444;1423
0;"BR";2022;52;"VSR";NA;NA;NA;345;345;334
0;"BR";2022;52;"FLU_A";NA;NA;NA;21;21;20
0;"BR";2022;52;"FLU_B";NA;NA;NA;15;15;8
0;"BR";2022;52;"RINO";NA;NA;NA;34;34;52
0;"BR";2022;52;"METAP";NA;NA;NA;16;16;19
0;"BR";2023;1;"SARS2";NA;NA;NA;1091;1091;1083
0;"BR";2023;1;"VSR";NA;NA;NA;297;297;305
0;"BR";2023;1;"FLU_A";NA;NA;NA;14;14;16
0;"BR";2023;1;"FLU_B";NA;NA;NA;7;7;10
0;"BR";2023;1;"RINO";NA;NA;NA;60;60;44
0;"BR";2023;1;"METAP";NA;NA;NA;23;23;16
0;"BR";2023;2;"SARS2";NA;NA;NA;713;713;775
0;"BR";2023;2;"VSR";NA;NA;NA;272;272;266
0;"BR";2023;2;"FLU_A";NA;NA;NA;14;14;13
0;"BR";2023;2;"FLU_B";NA;NA;NA;8;8;10
0;"BR";2023;2;"RINO";NA;NA;NA;38;38;46
0;"BR";2023;2;"METAP";NA;NA;NA;9;9;16
0;"BR";2023;3;"SARS2";NA;NA;NA;522;522;548
0;"BR";2023;3;"VSR";NA;NA;NA;229;229;243
0;"BR";2023;3;"FLU_A";NA;NA;NA;12;12;15
0;"BR";2023;3;"FLU_B";NA;NA;NA;15;15;10
0;"BR";2023;3;"RINO";NA;NA;NA;41;41;47
0;"BR";2023;3;"METAP";NA;NA;NA;15;15;13
0;"BR";2023;4;"SARS2";NA;NA;NA;409;409;448
0;"BR";2023;4;"VSR";NA;NA;NA;229;229;239
0;"BR";2023;4;"FLU_A";NA;NA;NA;19;19;16
0;"BR";2023;4;"FLU_B";NA;NA;NA;8;8;14
0;"BR";2023;4;"RINO";NA;NA;NA;63;63;65
0;"BR";2023;4;"METAP";NA;NA;NA;14;14;13
0;"BR";2023;5;"SARS2";NA;NA;NA;412;412;446
0;"BR";2023;5;"VSR";NA;NA;NA;258;258;260
0;"BR";2023;5;"FLU_A";NA;NA;NA;18;18;21
0;"BR";2023;5;"FLU_B";NA;NA;NA;19;19;22
0;"BR";2023;5;"RINO";NA;NA;NA;92;92;108
0;"BR";2023;5;"METAP";NA;NA;NA;9;9;12
0;"BR";2023;6;"SARS2";NA;NA;NA;518;518;503
0;"BR";2023;6;"VSR";NA;NA;NA;292;292;311
0;"BR";2023;6;"FLU_A";NA;NA;NA;26;26;23
0;"BR";2023;6;"FLU_B";NA;NA;NA;39;39;32
0;"BR";2023;6;"RINO";NA;NA;NA;170;170;181
0;"BR";2023;6;"METAP";NA;NA;NA;14;14;12
0;"BR";2023;7;"SARS2";NA;NA;NA;580;580;576
0;"BR";2023;7;"VSR";NA;NA;NA;382;382;395
0;"BR";2023;7;"FLU_A";NA;NA;NA;25;25;31
0;"BR";2023;7;"FLU_B";NA;NA;NA;38;38;44
0;"BR";2023;7;"RINO";NA;NA;NA;282;282;231
0;"BR";2023;7;"METAP";NA;NA;NA;14;14;15
0;"BR";2023;8;"SARS2";NA;NA;NA;631;631;664
0;"BR";2023;8;"VSR";NA;NA;NA;512;512;489
0;"BR";2023;8;"FLU_A";NA;NA;NA;42;42;44
0;"BR";2023;8;"FLU_B";NA;NA;NA;55;55;51
0;"BR";2023;8;"RINO";NA;NA;NA;242;242;241
0;"BR";2023;8;"METAP";NA;NA;NA;18;18;19
0;"BR";2023;9;"SARS2";NA;NA;NA;782;782;720
0;"BR";2023;9;"VSR";NA;NA;NA;574;574;608
0;"BR";2023;9;"FLU_A";NA;NA;NA;64;64;52
0;"BR";2023;9;"FLU_B";NA;NA;NA;60;60;66
0;"BR";2023;9;"RINO";NA;NA;NA;199;199;209
0;"BR";2023;9;"METAP";NA;NA;NA;25;25;21
0;"BR";2023;10;"SARS2";NA;NA;NA;746;746;749
0;"BR";2023;10;"VSR";NA;NA;NA;737;737;765
0;"BR";2023;10;"FLU_A";NA;NA;NA;50;50;69
0;"BR";2023;10;"FLU_B";NA;NA;NA;82;82;95
0;"BR";2023;10;"RINO";NA;NA;NA;187;187;189
0;"BR";2023;10;"METAP";NA;NA;NA;21;21;25
